device_id,browser_type,browser_version_major,browser_version_minor,browser_version_patch,device_type,device_version_major,device_version_minor,device_version_patch,os_type,os_version_major,os_version_minor,os_version_patch
12284337159811365000,Chrome Mobile,55,0,2883,Android SDK built for x86,0,0,0,Android,7,1,1
7559626618363503000,Chrome Mobile,89,0,4389,Generic Smartphone,0,0,0,Android,7,0,0
17586233160737618000,Samsung Internet,13,2,0,Samsung SM-G991B,0,0,0,Android,0,0,0
9349233986696133000,Chrome Mobile,89,0,4389,Nokia undefined$2$3,0,7,0,Android,0,0,0
14731839823853179000,Opera,74,0,3911,Other,0,0,0,Windows,7,0,0
17808229479323406000,Other,0,0,0,Other,0,0,0,Windows,0,0,0
14115649994015797000,Chrome Mobile WebView,86,0,4240,Generic Smartphone,0,0,0,Android,0,0,0
8592204371244805000,Chrome Mobile WebView,89,0,4389,Asus X00TD,0,0,0,Android,0,0,0
1761261079568283600,Samsung Internet,13,2,0,Samsung SM-M307F,0,0,0,Android,0,0,0
2154273341197142300,Chrome Mobile,85,0,4183,Generic Smartphone,0,0,0,Android,8,0,0
5834542147443484000,Chrome Mobile WebView,89,0,4389,Samsung SM-G960F,0,0,0,Android,0,0,0
17812229973797794000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,14,5
14476662027881992000,Firefox Mobile,68,0,0,Generic Smartphone,0,0,0,Android,8,0,0
10306871672707600000,Chrome Mobile,77,0,3865,Generic Smartphone,0,0,0,Android,7,1,1
6904056672500703000,Chrome,83,0,4103,Other,0,0,0,Mac OS X,10,15,7
15407987087221893000,Firefox iOS,32,1,0,iPhone,0,0,0,iOS,14,4,0
10911890543626858000,Samsung Internet,13,0,0,Samsung SM-A705FN,0,0,0,Android,0,0,0
14865462748077450000,WhatsApp,2,21,4,Spider,0,0,0,Other,0,0,0
8905273674912002000,Chrome,83,0,4103,Other,0,0,0,Mac OS X,10,13,6
1061103517389173200,Chrome Mobile WebView,89,0,4389,OnePlus ONEPLUS A6000,0,0,0,Android,0,0,0
9619651247174620000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,13,6
17345427811204389000,HeadlessChrome,89,0,4389,Other,0,0,0,Linux,0,0,0
11928339776212280000,Chrome,83,0,4103,Huawei Browser,0,0,0,Android,0,0,0
1974119680425797600,Firefox,68,0,0,Other,0,0,0,Mac OS X,10,12,0
12719326550584320000,Chrome,36,0,1985,Other,0,0,0,Windows,7,0,0
18081097037415416000,Firefox,21,0,0,Other,0,0,0,Windows,10,0,0
1750694625549015600,bitlybot,3,0,0,Spider,0,0,0,Other,0,0,0
11848337687322276000,bitlybot,0,0,0,Spider,0,0,0,Other,0,0,0
17341173995025615000,DuckDuckBot,0,0,0,Spider,0,0,0,Other,0,0,0
4177980861413652000,Mobile Safari,14,0,3,iPhone,0,0,0,iOS,14,4,2
16403414528926786000,Yandex Browser,21,2,2,Other,0,0,0,Windows,10,0,0
11794482186165733000,Firefox,87,0,0,Other,0,0,0,Mac OS X,10,15,0
10456548319052160000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,14,3
4557753877245491700,Chrome,23,0,1271,Other,0,0,0,Windows,10,0,0
14378208490585666000,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,12,6
5182465412745122000,Firefox,87,0,0,Other,0,0,0,Ubuntu,0,0,0
6727731427027874000,Chrome Mobile,78,0,3904,Generic Smartphone,0,0,0,Android,0,0,0
9138268373614015000,DotBot,1,2,0,Spider,0,0,0,Other,0,0,0
12457870970707730000,Yandex Browser,21,2,1,Other,0,0,0,Windows,7,0,0
11698295212148423000,Mobile Safari UI/WKWebView,14,4,2,iPhone,0,0,0,iOS,14,4,2
3583807281550057500,Chrome Mobile iOS,87,0,4280,iPhone,0,0,0,iOS,14,1,0
15688085193814450000,Chrome,88,0,4240,Other,0,0,0,Windows,10,0,0
17010478732245390000,Chrome Mobile WebView,89,0,4389,Generic Smartphone,0,0,0,Android,0,0,0
3419167637330395000,Mobile Safari,14,2,0,iPhone,0,0,0,iOS,14,2,0
2958935624249732000,Firefox,87,0,0,Other,0,0,0,Windows,10,0,0
1136785228351996500,Chrome Mobile,89,0,0,Generic Smartphone,0,0,0,Android,0,0,0
11908441921211146000,Chrome Mobile,89,0,4389,HTC Desire $2 $3,10,pro,0,Android,6,0,0
16100917680658810000,Chrome,31,0,1623,Other,0,0,0,Windows,7,0,0
15848091229895010000,Opera,75,0,3969,Other,0,0,0,Windows,10,0,0
1825898982098366200,Chrome,34,0,1847,Other,0,0,0,Mac OS X,10,9,3
2060812138485768200,Chrome Mobile iOS,87,0,4280,iPad,0,0,0,iOS,13,4,0
4625333257532253000,Chrome,87,0,4280,Other,0,0,0,Mac OS X,11,2,3
6415395314879285000,Chrome,31,0,1650,Other,0,0,0,Windows,XP,0,0
16738327092196400000,Firefox,52,0,0,Other,0,0,0,Ubuntu,0,0,0
12328366849535480000,Chrome,87,0,4280,Other,0,0,0,Mac OS X,11,0,1
2049515448233289200,Chrome,89,0,4389,Other,0,0,0,Windows,8.1,0,0
8839702038158125000,IE,11,0,0,Other,0,0,0,Windows,8,0,0
1914362546137522200,Chrome,89,0,4389,Other,0,0,0,Mac OS X,10,13,1
8667697528967478000,Python-urllib,3,9,0,Spider,0,0,0,Other,0,0,0
6225322571628912000,TkBot,0,1,0,Spider,0,0,0,Other,0,0,0
